date,platform,campaign,event,driver,country,city,age_group,gender,followers,reach,engagement,likes,comments,shares,saves,profile_visits,website_clicks
2026-01-15,Instagram,Q1 Launch,Post,High-performing post,NL,Amsterdam,18-24,Female,124000,420000,5.0,18857,725,311,796,4963,1184
2026-01-15,Instagram,Q1 Launch,Post,High-performing post,DE,Berlin,18-24,Female,124000,420000,4.7,21044,750,378,831,4962,908
2026-01-15,Instagram,Q1 Launch,Post,High-performing post,CH,Basel,35-44,Female,124000,420000,5.0,18141,826,347,480,5604,926
2026-01-15,Instagram,Q1 Launch,Post,High-performing post,AT,Vienna,18-24,Male,124000,420000,5.1,21871,1206,567,789,6220,1286
2026-01-20,Instagram,Q1 Launch,Post,High-performing post,CH,Zurich,35-44,Undisclosed,124000,420000,4.9,24038,1188,614,513,4030,779
2026-01-20,Instagram,Q1 Launch,Post,High-performing post,DE,Hamburg,25-34,Female,124000,420000,4.8,20608,1151,359,631,5330,1360
2026-01-20,Instagram,Q1 Launch,Post,High-performing post,NL,Amsterdam,65+,Female,124000,420000,4.9,18237,970,318,572,6269,1542
2026-01-20,Instagram,Q1 Launch,Post,High-performing post,CH,Zurich,25-34,Undisclosed,124000,420000,4.7,23253,846,635,1026,4539,725
2026-01-25,Instagram,Q1 Launch,Post,High-performing post,CH,Basel,65+,Male,124000,420000,4.6,20993,1199,517,509,3770,986
2026-01-25,Instagram,Q1 Launch,Post,High-performing post,CH,Zurich,35-44,Undisclosed,124000,420000,4.9,24341,1094,445,1215,4858,794
2026-01-25,Instagram,Q1 Launch,Post,High-performing post,DE,Berlin,18-24,Female,124000,420000,4.9,23453,1068,374,737,6288,1442
2026-01-25,Instagram,Q1 Launch,Post,High-performing post,CH,Zurich,18-24,Undisclosed,124000,420000,5.0,22526,1090,428,883,3687,793
2026-01-30,Instagram,Q1 Launch,Post,High-performing post,AT,Graz,18-24,Undisclosed,124000,420000,5.1,19012,903,336,900,5919,1152
2026-01-30,Instagram,Q1 Launch,Post,High-performing post,NL,Amsterdam,55-64,Undisclosed,124000,420000,4.6,19940,778,584,950,6060,1453
2026-01-30,Instagram,Q1 Launch,Post,High-performing post,AT,Graz,18-24,Female,124000,420000,5.2,24181,1349,474,525,5941,1735
2026-01-30,Instagram,Q1 Launch,Post,High-performing post,DE,Hamburg,65+,Male,124000,420000,5.1,25015,1208,422,995,6143,1073
2026-02-04,Instagram,Q1 Launch,Post,High-performing post,CH,Zurich,55-64,Male,124000,420000,5.2,24602,1325,623,1018,4533,1136
2026-02-04,Instagram,Q1 Launch,Post,High-performing post,DE,Frankfurt,45-54,Undisclosed,124000,420000,4.8,18882,691,289,691,5090,768
2026-02-04,Instagram,Q1 Launch,Post,High-performing post,DK,Copenhagen,65+,Female,124000,420000,4.7,24405,1378,392,662,5326,970
2026-02-04,Instagram,Q1 Launch,Post,High-performing post,DE,Cologne,65+,Undisclosed,124000,420000,4.9,18841,882,397,430,5297,1076
2026-02-09,Instagram,Q1 Launch,Post,High-performing post,AT,Vienna,45-54,Undisclosed,124000,420000,4.5,22289,1140,354,932,5713,950
2026-02-09,Instagram,Q1 Launch,Post,High-performing post,DE,Munich,25-34,Undisclosed,124000,420000,4.8,20343,853,381,970,4662,1301
2026-02-09,Instagram,Album,Single Teaser,Single teaser,CH,Zurich,18-24,Female,132928,503868,5.3,29490,1657,515,1019,4784,1005
2026-02-09,Instagram,Album,Single Teaser,Single teaser,DE,Berlin,25-34,Male,132928,503868,4.6,24089,1401,645,687,6487,1683
2026-02-14,Instagram,Album,Single Teaser,Single teaser,CH,Zurich,65+,Undisclosed,132928,503868,4.9,22068,892,350,928,4245,836
2026-02-14,Instagram,Album,Single Teaser,Single teaser,DE,Berlin,55-64,Male,132928,503868,5.0,28747,1119,845,644,4686,1121
2026-02-14,Instagram,Album,Single Teaser,Single teaser,NL,Amsterdam,25-34,Male,132928,503868,4.7,29126,1198,696,1123,5509,1308
2026-02-14,Instagram,Album,Single Teaser,Single teaser,CH,Zurich,35-44,Male,132928,503868,4.7,27372,1121,573,1099,5089,1004
2026-02-19,Instagram,Album,Single Teaser,Single teaser,DE,Hamburg,18-24,Male,132928,503868,5.0,25828,968,595,908,4498,910
2026-02-19,Instagram,Album,Single Teaser,Single teaser,DE,Hamburg,25-34,Male,132928,503868,4.8,24570,1193,480,1216,6877,1577
2026-02-19,Instagram,Album,Single Teaser,Single teaser,NL,Amsterdam,55-64,Male,132928,503868,5.3,21198,1207,402,989,6649,1152
2026-02-19,Instagram,Album,Single Teaser,Single teaser,DE,Leipzig,55-64,Female,132928,503868,5.1,22206,1129,421,769,7224,2000
2026-02-24,Instagram,Album,Single Teaser,Single teaser,DE,Hamburg,65+,Male,132928,503868,5.2,20598,892,349,1017,4600,994
2026-02-24,Instagram,Album,Single Teaser,Single teaser,DK,Copenhagen,45-54,Undisclosed,132928,503868,4.6,20912,1193,597,760,6974,1655
2026-02-24,Instagram,Album,Single Teaser,Single teaser,DE,Cologne,45-54,Female,132928,503868,4.6,23829,1389,704,505,5292,1335
2026-02-24,Instagram,Album,Single Teaser,Single teaser,NL,Amsterdam,18-24,Male,132928,503868,5.1,29064,1312,706,716,7310,2044
2026-03-01,Instagram,Album,Single Teaser,Single teaser,DE,Cologne,45-54,Female,132928,503868,4.7,29471,1607,624,1181,6623,1239
2026-03-01,Instagram,Album,Single Teaser,Single teaser,DE,Cologne,65+,Female,132928,503868,4.9,20544,960,369,976,5264,1437
2026-03-01,Instagram,Album,Single Teaser,Single teaser,DE,Munich,25-34,Female,132928,503868,5.1,24170,1014,387,1044,5269,1192
2026-03-01,Instagram,Album,Single Teaser,Single teaser,NL,Amsterdam,55-64,Male,132928,503868,5.3,21317,1263,376,1041,4967,825
2026-03-06,Instagram,Album,Single Teaser,Single teaser,AT,Vienna,35-44,Undisclosed,132928,503868,5.1,24552,1463,410,1153,4701,736
2026-03-06,Instagram,Album,Single Teaser,Single teaser,AT,Vienna,18-24,Undisclosed,132928,503868,5.2,25580,1355,668,1026,5315,853
2026-03-06,Instagram,Album,Single Teaser,Single teaser,NL,Amsterdam,35-44,Undisclosed,132928,503868,4.8,28700,1520,559,840,5471,1150
2026-03-06,Instagram,Album,Single Teaser,Single teaser,DE,Leipzig,55-64,Female,132928,503868,4.7,26855,1194,704,677,6038,1273
2026-03-11,Instagram,TV,TV Appearance,TV appearance,DE,Berlin,35-44,Male,139149,696560,5.2,36313,1563,785,1462,8064,2169
2026-03-11,Instagram,TV,TV Appearance,TV appearance,DK,Copenhagen,25-34,Undisclosed,139149,696560,4.7,35043,1781,701,1561,9234,2316
2026-03-11,Instagram,TV,TV Appearance,TV appearance,DE,Munich,25-34,Female,139149,696560,4.7,31273,1466,867,693,7593,1856
