section,filter,title,text
Overview,,Executive Summary,Audience growth accelerated during media exposure and release activities with sustained engagement throughout the campaign.
Audience,25-34,Core Audience,Users aged 25–34 represent the largest and most engaged audience segment.
Audience,35-44,Secondary Audience,The 35–44 segment consistently contributed to long-term engagement.
Geography,Berlin,Regional Hub,Berlin generated the highest audience concentration and the strongest campaign response.
Geography,Hamburg,Growth Market,Hamburg showed strong secondary growth and should remain a strategic focus.
Drivers,Release week,Primary Growth Driver,The release week generated the largest increase in followers and reach.
Drivers,TV appearance,Media Impact,The TV appearance delivered the strongest short-term visibility boost.
Drivers,Viral post,Organic Momentum,Organic sharing amplified campaign performance after the initial media push.
Timeline,Release week,Campaign Peak,The campaign reached its highest engagement during release week.
Timeline,TV appearance,Audience Lift,TV exposure created the largest daily increase in followers.
Recommendation,,Recommendation,Future campaigns should combine release moments with TV exposure and regional targeting in Berlin and Hamburg.
Risk,,Risk,Long periods without content after campaign peaks may reduce engagement and slow audience growth.
